STREET ID,STREET,FROM,TO,PCI
1190,AMHERST STREET,COLLEGE AVENUE,CALIFORNIA  AVENUE,92
1200,ANTON COURT,COWPER STREET,END,91
1210,ARASTRADERO  ROAD,CITY LIMIT,CABALLO LANE,71
1215,ARASTRADERO  ROAD,CABALLO LANE,CITY LIMIT,22
1220,ARASTRADERO  ROAD,CITY LIMIT,DEER CREEK ROAD,95
1240,ARASTRADERO  ROAD,DEER CREEK ROAD,HILLVIEW AVENUE,96
1250,ARASTRADERO  ROAD,HILLVIEW AVENUE,OLD ADOBE ROAD,96
1260,ARASTRADERO  ROAD,OLD ADOBE ROAD,OLD TRACE ROAD,96
1270,ARASTRADERO  ROAD,OLD TRACE ROAD,FOOTHILL  EXPRESSWAY,96
1280,ARASTRADERO  ROAD,FOOTHILL  EXPRESSWAY,GEORGIA AVENUE,81
1300,ARASTRADERO  ROAD,GEORGIA AVENUE,HUBBARTT DRIVE,76
1320,ARASTRADERO  ROAD,HUBBART DRIVE,WILLMAR DRIVE,78
1340,ARASTRADERO  ROAD,WILLMAR DRIVE,DONALD DRIVE,79
1360,ARASTRADERO  ROAD,DONALD DRIVE,KING ARTHUR'S  COURT,75
1380,ARASTRADERO  ROAD,KING ARTHUR'S  COURT,POMONA AVENUE,67
1400,ARASTRADERO  ROAD,POMONA AVENUE,CHERRY OAKS  PLACE,67
1420,ARASTRADERO  ROAD,CHERRY OAKS PLCE,COULOMBE DRIVE,63
1440,ARASTRADERO  ROAD,COLUMBE DRIVE,LOS PALOS  AVENUE,67
1460,ARASTRADERO  ROAD,LOS PALOS AVENUE,CLEMO AVENUE,65
1480,ARASTRADERO  ROAD,CLEMO AVENUE,SUZANNE DRIVE,63
1500,ARASTRADERO  ROAD,SUZANNE DRIVE,MCKELLAR LANE,82
1520,ARASTRADERO  ROAD,MCKELLAR LANE,EL CAMINO REAL,89
1540,ARBOL DRIVE,LOS ROBLES  AVENUE,ENCINA GRANDE  DRIVE,83
1550,ARBORETUM ROAD,SAND HILL ROAD,QUARRY ROAD,72
1560,ARBORETUM ROAD,QUARRY ROAD,SAND HILL ROAD,70
1590,ARBUTUS AVENUE,THORNWOOD DRIVE,TALISMAN DRIVE,87
1600,ARBUTUS AVENUE,TALISMAN DRIVE,DRIFTWOOD DRIVE,91
1610,ARBUTUS AVENUE,DRIFTWOOD DRIVE,EAST MEADOW  DRIVE,90
1620,ARCADIA PLACE,NEWELL ROAD,END,79
1630,ARROWHEAD WAY,INDIAN DRIVE,AZTEC WAY,81
1640,ASH STREET,PARK AVENUE,LELAND AVENUE,76
1650,ASH STREET,LELAND AVENUE,STANFORD AVENUE,86
1660,ASH STREET,STANFORD AVENUE,OXFORD AVENUE,98
1670,ASH STREET,OXFORD AVENUE,COLLEGE AVENUE,93
1680,ASH STREET,CALIFORNIA  AVENUE,SHERMAN AVENUE,32
1690,ASH STREET,SHERMAN AVENUE,GRANT AVENUE,37
1700,ASH STREET,GRANT AVENUE,SHERIDAN AVENUE,47
1710,ASH STREET,SHERIDAN AVENUE,PAGE MILL ROAD,50
1720,ASH STREET,PAGE MILL ROAD,PEPPER AVENUE,87
1730,ASH STREET,PEPPER AVENUE,OLIVE AVENUE,91
1740,ASH STREET,PORTAGE AVENUE,LAMBERT AVENUE,92
1750,ASH STREET,LAMBERT AVENUE,CHESTNUT AVENUE,82
1755,ASHBY DRIVE,DANA AVENUE,DANA AVENUE,95
1760,ASHTON AVENUE,COWPER STREET,ASHTON COURT,97
1770,ASHTON AVENUE,ASHTON COURT,MURDOCH DRIVE,97
1780,ASHTON AVENUE,MURDOCH DRIVE,MIDDLEFIELD ROAD,92
1790,ASHTON COURT,ASHTON AVENUE,END,91
1800,ASPEN WAY,EVERGREEN DRIVE,LOUIS ROAD,92
1810,AVALON COURT,LOMA VERDE  AVENUE,END,83
1820,AZTEC WAY,ARROWHEAD WAY,CARDINAL WAY,79
1830,BAKER AVENUE,GEORGIA AVENUE,MAYBELL AVENUE,92
1840,BANDERA DRIVE,ALEXIS DRIVE,END,95
1850,BARBARA DRIVE,SEALE AVENUE,NORTH CALIFORNIA  AVENUE,93
1860,BARCLAY COURT,WILKIE WAY,END,91
1870,BARRON AVENUE,LAGUNA AVENUE,LA CALLE,100
1880,BARRON AVENUE,LA CALLE,CARLITOS COURT,100
1890,BARRON AVENUE,CARLITOS COURT,EL CENTRO STREET,100
1895,BAUTISTA COURT,STOCKTON PLACE,END,82
1900,BARRON AVENUE,EL CENTRO STREET,JOSINA AVENUE,100
1910,BARRON AVENUE,JOSINA AVENUE,CASS WAY,93
1920,BARRON AVENUE,CASS WAY,LA DONNA STREET,93
1930,BARRON AVENUE,LA DONNA STREET,WHITSELL STREET,93
1940,BARRON AVENUE,WHITSELL STREET,LA SELVA DRIVE,93
1950,BARRON AVENUE,LA SELVA DRIVE,EL CAMINO REAL,93
1960,EAST BAYSHORE  ROAD,CITY LIMIT,LAURA LANE,76
1970,EAST BAYSHORE  ROAD,LAURA LANE,EMBARCADERO  ROAD,80
1980,EAST BAYSHORE  ROAD,EMBARCADERO  ROAD,WATSON COURT,95
1990,EAST BAYSHORE  ROAD,WATSON COURT,MATADERO CREEK,95
2000,EAST BAYSHORE  ROAD,MATADERO CREEK,ADOBE CREEK,95
2010,EAST BAYSHORE  ROAD,ADOBE CREEK,ELWELL COURT,93
2020,EAST BAYSHORE  ROAD,ELWELL COURT,CORPORATION  WAY,96
2030,EAST BAYSHORE  ROAD,CORPORATION WAY,SAN ANTONIO  AVENUE,95
2040,WEST BAYSHORE  ROAD,CITY LIMIT,CHANNING AVENUE,96
2050,WEST BAYSHORE  ROAD,CHANNING AVENUE,EMBARCADERO  ROAD,91
2060,WEST BAYSHORE  ROAD,OREGON  EXPRESSWAY,CHABOT TERRACE,96
2070,WEST BAYSHORE  ROAD,CHABOT TERRACE,AMARILLO AVENUE,96
2080,WEST BAYSHORE  ROAD,AMARILLO AVENUE,COLORADO  AVENUE,96
2090,WEST BAYSHORE  ROAD,COLORADO AVENUE,LOMA VERDE  AVENUE,91
2100,WEST BAYSHORE  ROAD,LOMA VERDE  AVENUE,FABIAN WAY,96
2110,BELLVIEW DRIVE,NORTH CALIFORNIA  AVENUE,END,83
2120,BEN LOMOND  DRIVE,SCRIPPS AVENUE,SCRIPPS AVENUE,91
2130,BIBBITS DRIVE,LOUIS ROAD,END,89
2140,BIBBITS DRIVE,LOUIS ROAD,GAILEN AVENUE,84
2150,BIRCH STREET,PARK BOULEVARD,LELAND AVENUE,64
2160,BIRCH STREET,LELAND AVENUE,STANFORD AVENUE,53
2170,BIRCH STREET,STANFORD AVENUE,OXFORD AVENUE,77
2180,BIRCH STREET,OXFORD AVENUE,COLLEGE AVENUE,80
2190,BIRCH STREET,COLLEGE AVENUE,CAMBRIDGE  AVENUE,69
2200,BIRCH STREET,CAMBRIDGE  AVENUE,CALIFORNIA  AVENUE,77
2210,BIRCH STREET,CALIFORNIA  AVENUE,SHERMAN AVENUE,90
2220,BIRCH STREET,SHERMAN AVENUE,CALIFORNIA  AVENUE,90
2230,BIRCH STREET,SHERMAN AVENUE,GRANT AVENUE,91
2240,BIRCH STREET,GRANT AVENUE,SHERMAN AVENUE,91
2250,BIRCH STREET,GRANT AVENUE,SHERIDAN AVENUE,91
2260,BIRCH STREET,SHERIDAN AVENUE,GRANT AVENUE,91
2270,BIRCH STREET,SHERIDAN AVENUE,OREGON RAMP,65
2280,BIRCH STREET,OREGON RAMP,PAGE MILL ROAD,66
2290,BIRCH STREET,LAMBERT AVENUE,CHESTNUT AVENUE,87
2300,BIRCH STREET,CHESTNUT AVENUE,FERNANDO  AVENUE,76
2310,BLAIR COURT,GREER ROAD,END,75
2320,BOWDOIN STREET,STANFORD AVENUE,COLLEGE AVENUE,92
2330,BOWDOIN STREET,COLLEGE AVENUE,CALIFORNIA  AVENUE,92
2340,BOYCE AVENUE,FOREST AVENUE,FIFE AVENUE,97
